Xgen2g_56_210x70lammps.data (written by ASE)

6459	atoms
1	atom types
0.0	210	xlo xhi
0.0	70	ylo yhi
0.0	10	zlo zhi


Atoms

	248	1 150.005178 1.03638339 5
	249	1 151.158406 1.52304361 5
	250	1 151.39501 2.58689912 5
	251	1 148.852713 1.92723279 5
	252	1 150.231403 3.72633233 5
	253	1 149.115554 3.25934058 5
	254	1 198.656406 38.1855233 5
	255	1 192.462671 46.9994204 5
	256	1 193.667243 46.1239233 5
	257	1 188.232283 38.8875479 5
	258	1 192.533013 36.7276282 5
	259	1 193.082146 40.8431013 5
	260	1 194.136286 40.0334395 5
	261	1 193.983193 38.6981124 5
	262	1 192.690229 38.1940218 5
	263	1 185.849069 39.2681663 5
	264	1 186.164062 41.9103983 5
	265	1 187.278159 41.0187548 5
	266	1 187.08627 39.8247282 5
	267	1 178.288961 48.3790568 5
	268	1 181.698658 54.450595 5
	269	1 180.506825 55.3553561 5
	270	1 206.452105 42.4448 5
	271	1 163.106154 3.70011096 5
	272	1 162.898092 1.0443421 5
	273	1 59.9364325 56.2391374 5
	274	1 92.2510706 28.859963 5
	275	1 91.0981601 28.0473757 5
	276	1 91.0828006 27.1256535 5
	277	1 92.1377581 26.2481013 5
	278	1 119.026222 2.27576224 5
	279	1 90.1917178 8.58686462 5
	280	1 89.3375445 9.59668964 5
	281	1 89.7003922 7.33043823 5
	282	1 68.5125616 5.75310179 5
	283	1 112.900545 7.71359828 5
	284	1 113.75177 5.56724767 5
	285	1 111.352764 4.50085783 5
	286	1 112.685215 6.35201584 5
	287	1 111.574795 5.90338958 5
	288	1 110.842261 0.437217298 5
	289	1 113.016994 0.122290655 5
	290	1 111.066745 1.8903595 5
	291	1 109.728266 0.0221373669 5
	292	1 69.3649123 2.16836628 5
	293	1 70.3537169 1.40270381 5
	294	1 93.9277311 5.71110301 5
	295	1 0.567849485 14.1799655 5
	296	1 0.165178875 12.9116924 5
	297	1 119.313333 46.6880541 5
	298	1 209.190933 58.6855237 5
	299	1 209.512281 59.9093713 5
	300	1 208.424974 60.9167388 5
	301	1 207.187966 60.4775867 5
	302	1 130.188077 46.5016275 5
	303	1 132.38071 50.8037003 5
	304	1 130.688186 46.9466518 5
	305	1 142.223534 37.1630184 5
	306	1 140.820603 36.8336973 5
	307	1 97.1218169 14.4599316 5
	308	1 96.7351945 13.2956545 5
	309	1 99.4074631 18.5738385 5
